Model,Class,precision,recall,f1-score,support
Logistic Regression,N,0.8421052631578947,0.9411764705882353,0.8888888888888888,17.0
Logistic Regression,Y,0.9894736842105263,0.9690721649484536,0.9791666666666666,97.0
Logistic Regression,accuracy,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544
Logistic Regression,macro avg,0.9157894736842105,0.9551243177683444,0.9340277777777777,114.0
Logistic Regression,weighted avg,0.9674976915974145,0.9649122807017544,0.9657041910331383,114.0
